pos	HaplotypeScore
3460975	9.04
3460976	9.12
3460978	9.3
3460979	9.17
3460982	8.88
3460983	8.73
3460984	8.84
3460986	37.0
3460988	71.5
3460991	92.75
3460992	97.2
3461555	9.94
3461556	6.133
3461557	9.1
3461559	1.988
3461560	3.273
3461561	1.875
3461562	3.113
3461564	1.614
3461566	1.706
3461568	1.373
3461569	1.271
3461570	1.33
3461573	1.624
3461575	1.506
3461576	1.837
3461578	3.104
3461579	3.348
3461580	3.574
3461581	3.662
3461582	5.594
3461583	5.59
3461585	3.67
3461586	3.426
3461614	7.06
3461617	12.766
3461619	10.03
3461620	6.402
3461621	10.1
3461622	5.01
3461623	5.49
3461624	6.27
3461626	6.91
3461630	5.45
3461632	2.742
3461633	2.701
3461634	5.465
3461635	5.28
3461636	1.238
3461637	1.666
3461638	2.768
3461644	3.518
3461646	3.396
3461647	2.547
3461648	2.617
3461650	2.842
3461652	2.85
3461653	2.855
3461654	2.678
3461656	2.625
3461657	2.938
3461658	2.902
3461659	2.475
3461660	2.469
3461661	2.467
3461664	1.473
3461668	1.505
3461669	1.509
3461673	1.9
3461674	1.379
3461675	1.234
3461678	1.422
3461679	2.338
3461682	11.78
3461683	11.6
3461688	11.875
3461877	4.04
3461880	3.307
3461883	3.295
3461884	3.223
3461886	3.18
3461887	3.213
3461892	2.822
3461893	2.795
3461895	2.496
3461896	2.598
3462469	9.85
3462471	9.89
3462472	10.09
3462493	1.692
3462726	1.851
3462727	1.801
3462728	1.791
3462729	1.416
3462730	1.976
3462731	1.975
3462732	1.999
3462733	4.734
3462734	7.12
3462735	7.383
3462736	9.5
3462737	12.35
3462739	14.734
3462740	14.625
3462742	14.086
3462745	13.734
3462749	13.625
3462750	13.81
3462753	18.02
3462756	13.484
3462757	7.637
3462760	16.19
3462761	9.82
3462763	17.02
3462764	9.89
3462765	10.09
3462769	9.54
3462771	2.988
3462772	33.47
3462773	22.89
3462774	22.8
3462775	22.77
3462779	24.38
3462784	24.66
3462787	24.45
3462788	24.27
3462791	24.42
3462792	24.3
3462793	1.598
3462794	1.799
3462795	1.658
3462799	1.435
3462800	1.487
3462801	1.671
3462802	1.934
3462805	2.773
3462806	2.77
3462809	2.691
3462810	2.648
3462813	2.164
3462817	2.367
3462822	2.295
3462825	0.8564
3462826	0.9204
3462830	2.178
3462832	4.824
3462833	4.8
3462834	4.89
3462836	1.608
3462837	1.738
3462840	1.593
3462841	1.77
3462842	1.582
3462845	1.751
3462847	1.596
3462849	1.666
3462850	1.641
3462851	1.479
3462853	1.261
3462856	1.275
3462861	7.242
3462863	7.3
3462864	7.293
3462865	7.43
3462867	3.984
3462869	7.84
3462870	26.27
3462871	30.25
3462872	30.56
3462873	30.8
3462875	28.03
3462883	27.88
3462885	27.08
3462886	27.33
3462887	26.5
3462888	26.72
3462889	26.98
3462890	26.36
3462891	4.82
3462892	5.61
3462894	5.348
3462896	3.824
3462897	5.168
3462899	3.693
3463025	2.145
3463027	16.84
3463030	16.94
3463031	16.94
3463032	16.95
3463131	15.945
3463132	16.12
3463133	9.05
3463134	8.875
3463135	15.97
3463136	8.39
3463137	8.01
3463139	17.44
3463140	17.08
3463157	1.524
3463161	2.062
3463169	1.869
3463170	1.938
3463592	18.56
3463602	22.08
3463604	20.73
3463605	21.27
3463606	21.19
3463607	3.408
3463608	4.266
3463609	4.258
3463610	4.086
3463611	4.15
3463612	4.56
3463617	2.951
3463619	1.578
3463620	1.471
3463628	1.429
3463629	1.412
3463630	1.526
3463633	1.561
3463636	1.805
3463637	1.637
3463638	2.064
3463639	2.115
3463641	2.13
3463642	2.086
3463644	2.246
3463645	2.238
3463647	3.238
3463648	2.414
3463649	2.432
3463650	4.145
3463651	2.322
3463652	9.16
3463653	7.086
3463654	6.984
3463656	8.96
3463657	8.99
3463658	7.19
3463661	6.742
3463667	7.582
3463670	7.15
3463673	3.13
3463685	25.97
3463686	26.31
3463694	24.44
3463695	24.22
3463697	23.56
3463698	1.402
3463699	1.236
3463700	1.247
3463702	2.75
3463705	6.883
3463707	6.715
3463708	5.58
3463709	5.51
3463710	5.39
3463712	1.452
3463713	5.285
3463714	1.46
3463722	1.639
3463724	1.376
3463728	2.049
3463729	1.77
3463730	2.127
3463731	2.158
3463732	2.361
3463733	2.312
3463734	2.408
3463735	2.104
3463738	2.426
3463739	2.422
3463741	7.977
3463744	3.152
3463745	3.188
3463746	7.26
3463747	2.709
3463748	2.15
3463749	2.648
3463750	2.637
3463753	2.45
3463754	2.477
3463757	2.479
3463760	2.078
3463763	1.346
3463771	1.47
3463772	1.472
3463774	1.416
3463776	20.73
3463777	20.08
3463778	21.45
3463779	21.7
3463780	38.9
3463781	41.8
3463803	6.977
3463805	7.008
3463806	6.54
3463808	2.21
3463809	2.242
3463811	2.28
3463812	2.203
3463813	2.607
3463815	2.623
3463817	4.195
3463820	2.355
3463823	2.52
3463824	2.508
3463825	2.346
3463826	2.326
3463828	2.293
3463831	2.746
3463833	2.72
3463834	2.318
3463835	2.746
3463836	2.309
3463839	1.776
3463841	1.846
3463843	1.644
3463845	1.699
3463849	1.573
3463855	1.437
