ox_code	src_code	population	country	region	contributor	contact	year	m_s	sex	n_sequences	mean_coverage	phenotype	insecticide
AA0040-C	Twifo_Praso__E2	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	95033368	30.99	dead	Bendiocarb
AA0041-C	Twifo_Praso__H3	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	95843804	31.7	dead	Bendiocarb
AA0042-C	Takoradi_C7	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	107420666	35.65	dead	Bendiocarb
AA0043-C	Takoradi_H8	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	95993752	29.46	dead	Bendiocarb
AA0044-C	Takoradi_D10	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	103044262	33.67	dead	Bendiocarb
AA0048-C	Madina_A1	GHgam	Ghana	Madina	David_Weetman		2012	S	F	101183648	32.64	alive	Bendiocarb
AA0049-C	Madina_E3	GHcol	Ghana	Madina	David_Weetman		2012	M	F	106641272	32.84	alive	Bendiocarb
AA0050-C	Madina_E5	GHgam	Ghana	Madina	David_Weetman		2012	S	F	93961924	29.82	dead	Bendiocarb
AA0051-C	Twifo_Praso__C1	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	99910300	33.33	dead	Bendiocarb
AA0052-C	Twifo_Praso__F2	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	100899280	32.29	dead	Bendiocarb
AA0053-C	Twifo_Praso__A4	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	104791234	34.14	dead	Bendiocarb
AA0054-C	Takoradi_E7	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	94902576	30.38	dead	Bendiocarb
AA0055-C	Takoradi_B9	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	95721108	30.93	dead	Bendiocarb
AA0056-C	Takoradi_G10	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	102828780	31.52	dead	Bendiocarb
AA0060-C	Madina_C1	GHgam	Ghana	Madina	David_Weetman		2012	S	F	90534918	29.46	alive	Bendiocarb
AA0061-C	Madina_F3	GHgam	Ghana	Madina	David_Weetman		2012	S	F	91137592	29.45	alive	Bendiocarb
AA0063-C	Twifo_Praso__D1	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	90062282	29.33	dead	Bendiocarb
AA0064-C	Twifo_Praso__G2	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	100028190	31.61	dead	Bendiocarb
AA0066-C	Takoradi_G7	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	86749914	27.43	dead	Bendiocarb
AA0067-C	Takoradi_C9	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	101513748	32.58	dead	Bendiocarb
AA0068-C	Takoradi_H10	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	97448404	31.42	dead	Bendiocarb
AA0072-C	Madina_F1	GHgam	Ghana	Madina	David_Weetman		2012	S	F	97192268	29.31	alive	Bendiocarb
AA0073-C	Madina_H3	GHcol	Ghana	Madina	David_Weetman		2012	M	F	100703586	33.75	alive	Bendiocarb
AA0074-C	Madina_G5	GHcol	Ghana	Madina	David_Weetman		2012	M	F	104975078	33.95	dead	Bendiocarb
AA0075-C	Twifo_Praso__F1	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	98566392	31.67	dead	Bendiocarb
AA0076-C	Twifo_Praso__B3	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	92182496	29.91	dead	Bendiocarb
AA0077-C	Twifo_Praso__C4	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	89362286	27.69	dead	Bendiocarb
AA0080-C	Takoradi_A11	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	102825240	31.97	dead	Bendiocarb
AA0084-C	Madina_A2	GHgam	Ghana	Madina	David_Weetman		2012	S	F	104241714	34.36	alive	Bendiocarb
AA0085-C	Madina_A4	GHgam	Ghana	Madina	David_Weetman		2012	S	F	100752712	31.84	alive	Bendiocarb
AA0086-C	Madina_H5	GHgam	Ghana	Madina	David_Weetman		2012	S	F	101686586	33.05	dead	Bendiocarb
AA0087-C	Twifo_Praso__H1	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	100038300	32	dead	Bendiocarb
AA0088-C	Twifo_Praso__C3	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	88706992	30.17	dead	Bendiocarb
AA0089-C	Twifo_Praso__D4	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	94922152	30.8	dead	Bendiocarb
AA0090-C	Takoradi_D8	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	106627612	34.43	dead	Bendiocarb
AA0091-C	Takoradi_G9	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	102159544	33.61	dead	Bendiocarb
AA0096-C	Madina_H2	GHgam	Ghana	Madina	David_Weetman		2012	S	F	91509044	29.27	alive	Bendiocarb
AA0097-C	Madina_E4	GHcol	Ghana	Madina	David_Weetman		2012	M	F	98143084	31.88	alive	Bendiocarb
AA0098-C	Madina_A6	GHcol	Ghana	Madina	David_Weetman		2012	M	F	93843990	30.93	dead	Bendiocarb
AA0099-C	Twifo_Praso__A2	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	102342614	32.62	dead	Bendiocarb
AA0100-C	Twifo_Praso__E3	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	92821322	30.98	dead	Bendiocarb
