chrom	start	end	Fst	PBS	PBS_s	PBS_p
2R	6863	110949	0.008649948809669933	0.017328407444051456	2.407634074904216	0.016056265358354183
2R	110950	166578	0.009588282521689253	0.00844749870080772	1.1371548894970547	0.2554735412096637
2R	166641	220078	0.012943217379602691	0.010341575012733637	1.4081164092520377	0.15909660284243088
2R	220176	266448	0.0032623754770681624	0.0008879163916539754	0.05570114959024308	0.9555798836856758
2R	266464	292649	0.006069383432250093	0.00390755636961621	0.48768281389266505	0.625774526811686
2R	292658	315322	0.0007569601974670125	0.007991962008568162	1.0719870218371286	0.28372586140965206
2R	315332	360529	0.0010789255939427243	0.007232588323314967	0.9633530420325198	0.33537038311187795
2R	360535	391119	-0.0003874705399454941	1.2164524338010042e-05	-0.069581583424307	0.9445266957053552
2R	391133	412304	-0.00010499027375515305	0.004912727075374807	0.6314798617363166	0.5277268126369916
2R	412318	434917	-0.0012015984776474803	0.0051997673711540165	0.6725430830466398	0.5012380222362469
2R	434924	457117	0.001380784511559056	-0.003807475146997993	-0.6160090762053416	0.5378885295391667
2R	457149	482669	-0.004123528230381592	-0.0011266019293287126	-0.2324904836564094	0.816157077692281
2R	482674	502442	0.009998063734218927	0.016972504070180937	2.3567194847883486	0.018437168474499888
2R	502451	522827	0.0028924446757569076	0.005802254733741996	0.7587333227809698	0.4480120989695856
2R	522840	541332	0.005140135116922628	0.0021729721377164034	0.23953780692581528	0.8106885838951499
2R	541342	562112	2.914579253277663e-05	-6.41681729414298e-05	-0.0805015360849277	0.9358383745826887
2R	562121	585882	0.004664251423194434	-0.0023606806189134955	-0.409034498869356	0.6825143438561859
2R	585910	604910	-0.004207774649230313	0.0003100687469080931	-0.026964197640658757	0.9784882897855203
2R	604993	623931	0.0005078967823811929	0.000878147907375192	0.054303696209291166	0.956693204751535
2R	623948	647494	-0.0005885476300032192	0.003966796094246003	0.49615749134598996	0.6197832996792685
2R	647527	671362	-0.0006182780125825508	3.387297146701664e-06	-0.07083723020264265	0.9435273008195625
2R	671365	690846	0.0008449683361910584	0.0021515872016904043	0.23647853485267697	0.8130613616987656
2R	690847	717474	0.0015742803771457133	-0.0030550562697536816	-0.5083700327376828	0.6111938646424232
2R	717519	737629	-0.0002526675414537213	0.005794059299197254	0.7575609057113334	0.448713891533865
2R	737683	757757	-0.002320028929734364	-0.0037330703771703525	-0.6053649277185167	0.544936549235855
2R	757799	775150	-0.001052900121064699	0.0007014570597800357	0.029026773474061764	0.97684323744297
2R	775160	790450	-0.0033037709740812	0.0029446718655643427	0.34993511760205115	0.7263873911886427
2R	790451	805085	-0.0023349427244993425	0.004206865281315338	0.5305011507672449	0.5957645113563075
