chrom	start	end	Fst	PBS	PBS_s	PBS_p	PBS_p_adj
2R	6863	110949	0.00864994880966993	0.0173284074440515	2.40763407490422	0.0160562653583542	0.652213209330111
2R	110950	166578	0.00958828252168925	0.00844749870080772	1.13715488949705	0.255473541209664	0.967573067109911
2R	166641	220078	0.0129432173796027	0.0103415750127336	1.40811640925204	0.159096602842431	0.948932740259759
2R	220176	266448	0.00326237547706816	0.000887916391653975	0.0557011495902431	0.955579883685676	0.991119710095772
2R	266464	292649	0.00606938343225009	0.00390755636961621	0.487682813892665	0.625774526811686	0.986502653199276
2R	292658	315322	0.000756960197467012	0.00799196200856816	1.07198702183713	0.283725861409652	0.970707431059281
2R	315332	360529	0.00107892559394272	0.00723258832331497	0.96335304203252	0.335370383111878	0.975105973942919
2R	360535	391119	-0.000387470539945494	1.216452433801e-05	-0.069581583424307	0.944526695705355	0.991016723323733
2R	391133	412304	-0.000104990273755153	0.00491272707537481	0.631479861736317	0.527726812636992	0.984034982198084
2R	412318	434917	-0.00120159847764748	0.00519976737115402	0.67254308304664	0.501238022236247	0.983205452756145
2R	434924	457117	0.00138078451155906	-0.00380747514699799	-0.616009076205342	0.537888529539167	0.984331865492319
2R	457149	482669	-0.00412352823038159	-0.00112660192932871	-0.232490483656409	0.816157077692281	0.989618453264343
2R	482674	502442	0.00999806373421893	0.0169725040701809	2.35671948478835	0.0184371684744999	0.682882709544464
2R	502451	522827	0.00289244467575691	0.005802254733742	0.75873332278097	0.448012098969586	0.981247598461329
2R	522840	541332	0.00514013511692263	0.0021729721377164	0.239537806925815	0.81068858389515	0.989549156476678
2R	541342	562112	2.91457925327766e-05	-6.41681729414298e-05	-0.0805015360849277	0.935838374582689	0.990934078709946
2R	562121	585882	0.00466425142319443	-0.0023606806189135	-0.409034498869356	0.682514343856186	0.987610833434403
2R	585910	604910	-0.00420777464923031	0.000310068746908093	-0.0269641976406588	0.97848828978552	0.991325812377232
2R	604993	623931	0.000507896782381193	0.000878147907375192	0.0543036962092912	0.956693204751535	0.991129952584209
2R	623948	647494	-0.000588547630003219	0.003966796094246	0.49615749134599	0.619783299679268	0.986373956941563
2R	647527	671362	-0.000618278012582551	3.38729714670166e-06	-0.0708372302026427	0.943527300819562	0.99100729370185
2R	671365	690846	0.000844968336191058	0.0021515872016904	0.236478534852677	0.813061361698766	0.989579337621686
2R	690847	717474	0.00157428037714571	-0.00305505626975368	-0.508370032737683	0.611193864642423	0.986185108323711
2R	717519	737629	-0.000252667541453721	0.00579405929919725	0.757560905711333	0.448713891533865	0.981276378242393
2R	737683	757757	-0.00232002892973436	-0.00373307037717035	-0.605364927718517	0.544936549235855	0.984531377034072
2R	757799	775150	-0.0010529001210647	0.000701457059780036	0.0290267734740618	0.97684323744297	0.991311331538101
2R	775160	790450	-0.0033037709740812	0.00294467186556434	0.349935117602051	0.726387391188643	0.988350408978716
2R	790451	805085	-0.00233494272449934	0.00420686528131534	0.530501150767245	0.595764511356307	0.985832393540725
2R	805092	821946	-0.00318500621399178	0.00419584795182361	0.52892504091152	0.596857450233262	0.985857969744981
2R	821995	836027	-0.00277143268676888	0.00290402744178996	0.344120634433592	0.730755565473176	0.988419239283936
2R	836047	865451	-0.00250150041045112	0.00417042139854523	0.525287585823222	0.599383285993208	0.98591672577927
2R	865454	878569	-0.00474266132970407	0.00116304056507705	0.0950596821280635	0.924267422006207	0.99082162367928
2R	878613	895742	-0.00248391470497701	-0.000182038267405503	-0.0973637183151534	0.922437556387979	0.990803583715991
2R	895775	910919	-0.000351223019813847	-0.00402195940056994	-0.646692623085391	0.517830898402248	0.983734848039797
2R	910925	925435	-0.00164609504902831	0.00308363640415913	0.369815014907459	0.711520326885801	0.988109887518238
2R	925439	938292	-0.00210864292413366	-0.000459219893098556	-0.137016584502777	0.891017686207384	0.990482377873134
2R	938297	952349	-0.00155304544101851	0.000286478999971037	-0.0303388840988832	0.975796785808692	0.991302094791548
2R	952353	965405	-0.00316365132232574	-0.00223989380359167	-0.391755058310445	0.69523920435343	0.987834831982597
2R	965408	979415	-0.00424868437307853	0.00313778587383765	0.377561494025347	0.70575637417896	0.988013944221652
2R	979431	992885	-0.00273935700645923	0.00606030577881899	0.795649418984784	0.426235833949576	0.98030840933254
2R	992906	1009654	-0.00199212470762721	-0.000583040229083367	-0.154729992459874	0.877034184175301	0.990332095258955
2R	1009666	1024280	-0.00156839309693089	-0.00254341489458469	-0.435175978352221	0.663434697413154	0.987259074313274
2R	1024284	1041161	-0.00112838087223681	0.00291809526798598	0.346133140234821	0.729242658682276	0.988395492327757
2R	1041233	1057724	0.00014694895384067	0.00156681069736081	0.152821963397519	0.878538676895378	0.990348491700763
2R	1057735	1071928	0.000419104177790841	-0.00160456647926558	-0.300866820990047	0.763516051739845	0.988910629268708
2R	1071930	1084850	0.00135798221893956	0.00289156635492785	0.342337984488234	0.732096553052079	0.988440206650322
2R	1084900	1100547	-0.000189592992209188	0.000404665552943761	-0.0134314301560535	0.989283591462558	0.991419655038162
2R	1100560	1115999	0.0035887392879168	-0.00282261555585642	-0.475117682399964	0.634703095760327	0.986689997451122
2R	1116011	1131490	0.00649646456544727	0.000261428786574382	-0.0339225010046047	0.972938950305131	0.991276769104501
2R	1131497	1148326	0.0116606695835187	0.00159929855516924	0.15746958993185	0.874874772587748	0.990308463699205
